title,institute,certificate_code,certificate_url,class_hours,started_at,ended_at,course_id
Estatística Descritiva com Python,Udemy,UC-a5f86721-3dfa-4f9c-ba68-2837d8b2997d,https://ude.my/UC-a5f86721-3dfa-4f9c-ba68-2837d8b2997d/,5.5,2023-11-28,2023-12-01,14d7edd5-359c-452d-bb54-3dc6f74eb185
Docker para Desenvolvedores (com Docker Swarm e Kubernetes),Udemy,UC-5570f179-aae2-4b46-a79f-c6e3bc23a2bc,https://ude.my/UC-5570f179-aae2-4b46-a79f-c6e3bc23a2bc/,12.0,2023-11-24,2023-11-28,e2966636-5f9a-4d3f-ad6f-2b0a0be15433
Manipulação de Dados com Linguagem Python,Udemy,UC-51c8a495-d7a5-4162-a686-5e4500775471,https://ude.my/UC-51c8a495-d7a5-4162-a686-5e4500775471/,12.0,2023-11-23,2023-11-25,33379e77-d10f-49e2-96a5-86c92754bb05
Python 3 - Curso Completo do Básico ao Avançado,Udemy,UC-b3545e8a-b1e9-45cc-8dda-18dafbc87311,https://ude.my/UC-b3545e8a-b1e9-45cc-8dda-18dafbc87311/,26.0,2023-11-15,2023-11-19,cee01dce-a021-4ccc-be7f-2a2a3d1f55c5
Banco de Dados SQL do Zero ao Avançado + Projetos Reais 2023,Udemy,UC-918201d1-b94f-4884-a222-ac4f3043cf87,https://ude.my/UC-918201d1-b94f-4884-a222-ac4f3043cf87/,8.0,2023-11-06,2023-11-08,8d76e3b1-87fb-44ea-a229-9cb1852c5dba
Data Warehouse Fundamentals for Beginners,Udemy,UC-de7ab224-9ee5-4e77-b577-265e03242926,https://ude.my/UC-de7ab224-9ee5-4e77-b577-265e03242926/,5.0,2023-11-03,2023-11-07,5a905201-da55-4d04-81de-ff5e81bb6465
Big Data Fundamentos 3.0,Data Science Academy,6545514b73dc1bbca80ca88c,https://mycourse.app/X9DtFKkEENZa1FHC6,12.0,2023-11-01,2023-11-03,694ccbcd-5d6a-4b37-8d8f-13f442490c55
SQL para análise de dados: do básico ao avançado,Udemy,UC-5f3413d0-7941-4452-a16b-b2fa69654deb,https://ude.my/UC-5f3413d0-7941-4452-a16b-b2fa69654deb/,6.0,2023-10-25,2023-10-31,34ed4f84-6eaa-437d-b443-c6f0a6f4e1fb
Segurança em aplicações WEB,Udemy,UC-8b7f8cb1-0b0f-4bb0-92c4-c10707c48f30,https://ude.my/UC-8b7f8cb1-0b0f-4bb0-92c4-c10707c48f30/,7.5,2023-10-23,2023-10-25,60f6e800-78f9-48fe-9d70-5a254c51c572
Métodos ágeis de A a Z: o curso completo,Udemy,UC-4f85ee61-cf16-45fa-9bf4-2d606c54d8a4,https://ude.my/UC-4f85ee61-cf16-45fa-9bf4-2d606c54d8a4/,9.5,2023-10-20,2023-10-23,8af4842e-6c50-417a-b938-8351a8463cf5
"Linux para Desenvolvedores (c/ terminal, Shell, Apache e +)",Udemy,UC-57345271-ee93-47a2-ac4a-67a1a0a3c346,https://ude.my/UC-57345271-ee93-47a2-ac4a-67a1a0a3c346/,7.5,2023-10-18,2023-10-20,34393bb0-cead-49ac-9944-05e8abb3bc81
Git e GitHub do básico ao avançado (c/ gist e GitHub Pages),Udemy,UC-2708bcda-39e2-45ce-8683-ad9c195237ce,https://ude.my/UC-2708bcda-39e2-45ce-8683-ad9c195237ce/,8.5,2023-10-15,2023-10-18,6c95cb44-947e-41ce-916c-6ceca6159ffd
